lon,lat,elev
-116.149279769360,  34.339160135288,    604.000000000
-116.152933512343,  34.346436025706,    605.000000000
-116.154036924346,  34.357470469102,    607.000000000
-116.156975499621,  34.368470218695,    608.000000000
-116.172641483857,  34.383405192167,    698.000000000
-116.206332969290,  34.418819256604,    780.000000000
-116.209546267475,  34.422677250275,    790.000000000
-116.218430102851,  34.430018714199,    792.000000000
-116.225103917979,  34.438314951044,    792.000000000
-116.227362851376,  34.441963506284,    814.000000000
-116.231695620202,  34.447843506474,    839.000000000
-116.238196377799,  34.460351557799,    848.000000000
-116.242784102707,  34.470507241438,    898.000000000
-116.245129191360,  34.477760901684,    929.000000000
-116.249067258906,  34.483383351278,    938.973100000
-116.249310163766,  34.483677646717,    964.000000000
-116.252908500828,  34.495222355656,    992.000000000
-116.256221181518,  34.502565155669,   1039.000000000
-116.257014522620,  34.515679849257,   1094.000000000
-116.260689270166,  34.528282221540,   1158.000000000
-116.265105456250,  34.553146527114,   1143.000000000
-116.269457883474,  34.565157480572,   1071.000000000
-116.296223244465,  34.593489161315,    853.000000000
-116.313990273227,  34.609085481235,    737.000000000
-116.324945540712,  34.622346582704,    661.000000000
-116.336225056452,  34.637542778742,    583.000000000
-116.347525814869,  34.650109339221,    567.000000000
-116.357273981841,  34.664274070346,    564.000000000
-116.365314442286,  34.685499031219,    568.000000000
-116.377583515356,  34.719870418485,    648.000000000
